type,name,swim,turn,eat,func,
0,stinky,00,01,02,,
1,clyde,00,,,,
2,niko,00,01,02,,
3,brink,00,01,,,
4,blip,00,01,,,
5,gumbo,00,01,,,
6,meryl,00,01,02,,
7,prego,00,02,03,01,
8,presto,00,01,02,,
9,rhubarb,00,,01,,
10,shrapnel,00,01,,
11,angie,00,01,,,
12,destructor,00,01,,,
13,itchy,00,01,,,
14,nostradamus,00,01,,,
15,stanley,02,03,04,,
16,nimbus,00,01,,,
17,seymour,00,01,,,
18,rufus,00,01,,,
19,amp,00,01,,,
20,vert,00,01,,,
21,wadsworth,00,01,02,,
22,zorf,00,01,02,,
23,gash,00,01,02,,
24,walter,00,01,02,,
