Mode,Idx,btnPrice0,btn1,btn2,btn3,btn4,btn5,btn6,btn7,btn8
0,0,100,200,300,1000,1000,10000,1000,5000,300,
0,1,100,200,300,1000,1000,10000,1000,5000,600,
0,2,100,200,300,1000,1000,10000,1000,5000,1000,
0,3,100,200,300,1000,1000,10000,1000,5000,2000,
0,4,100,200,300,1000,1000,10000,1000,5000,3000,
0,5,100,200,300,1000,1000,10000,1000,5000,5000,
0,6,100,200,300,1000,1000,10000,1000,5000,10000,
0,7,100,200,300,1000,1000,10000,1000,5000,20000,
0,8,100,200,300,1000,1000,10000,1000,5000,50000,
0,9,100,200,300,1000,1000,10000,1000,5000,100000,
